loan_amnt,term_mths,int_rate,installment,grade,empl_yrs,annual_inc,verification_status,dti,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,pub_rec_bankruptcies,loan_status
17000,36,12.29,567.01,1,10,72000,0,15.17,14,1,18400,85.6,26,0,1,1
16750,36,14.33,575.17,1,3,48000,0,21.08,12,0,17640,75.7,23,0,0,1
16000,60,12.99,363.97,1,10,90000,0,23.15,11,0,17594,42,30,5,0,1
9000,36,25.57,360.56,0,9,30000,0,28.6,8,1,8331,80.1,22,1,1,1
4000,36,15.31,139.27,1,7,30000,0,15.28,5,0,4487,56.8,9,0,0,1
14325,60,13.98,333.17,1,0.5,108000,0,11.18,11,0,18709,52.7,16,0,0,1
17425,60,20.5,466.52,0,5,51900,0,29.27,13,0,23762,91,28,0,0,1
7200,36,15.61,251.75,1,5,35000,0,13.99,7,0,12647,88.4,14,0,0,1
11975,36,23.7,467.93,0,0.5,40000,0,19.11,10,0,10949,71.6,12,0,0,1
8000,36,10.99,261.88,1,3,46000,0,12.08,7,0,481,6.4,10,0,0,1
10000,36,9.17,318.79,1,10,34000,0,27.32,11,0,15268,55.9,27,0,0,1
6625,36,11.14,217.34,1,3,28000,0,18.86,8,0,3493,44.2,14,0,0,1
8000,36,10.15,258.71,1,10,33000,0,20.44,11,1,8766,53.8,15,2,1,1
11000,36,16.2,387.82,1,0.5,52500,0,12.02,5,0,6440,89.4,14,1,0,1
15000,36,13.11,506.21,1,10,60000,0,21.48,13,0,12803,74.9,25,0,0,1
8000,36,10.64,260.55,1,7,114000,0,17.78,26,0,45614,70.3,54,4,0,1
9000,36,7.9,281.62,1,10,48000,0,23.1,13,0,9335,32,23,0,0,1
15000,36,12.12,499.08,1,9,80000,0,23.7,9,0,4193,48.7,21,6,0,1
4000,36,20.31,149.29,0,3,74000,0,10.16,5,0,5032,77.4,13,1,0,1
18000,36,10.99,589.22,1,10,50000,0,8.43,8,0,9739,63.2,18,3,0,1
9725,36,17.57,349.49,0,5,32000,0,27.38,9,0,12730,61.8,19,2,0,1
12000,60,13.35,275.2,1,7,66000,0,20.41,10,0,6466,45.5,19,2,0,1
7000,36,13.11,236.23,1,6,60000,0,17,11,0,17654,55.7,23,3,0,1
10000,36,11.44,329.48,1,10,39000,0,14.93,11,0,8147,54.3,20,0,0,1
15000,60,12.69,338.93,1,10,62000,0,28.67,12,0,31490,92.6,24,1,0,1
8300,36,12.12,276.16,1,0.5,46000,0,20.01,9,0,18716,79.2,9,1,0,1
10000,36,6.39,305.99,1,5,120000,0,8.08,7,0,6979,93.1,8,0,0,1
5500,36,12.99,185.3,1,1,75000,0,12.7,7,0,4418,43.7,10,0,0,1
10000,36,12.69,335.45,1,8,50000,0,17.69,7,1,4459,59.5,26,2,1,1
16000,60,20.99,432.77,0,10,78000,0,17.78,9,2,99471,38.4,36,2,0,1
5100,36,17.57,183.28,0,10,62500,0,11.41,15,0,3189,37.3,27,3,0,1
5000,36,12.99,168.45,1,3,50000,0,22.63,10,0,9550,28.3,12,0,0,1
16000,36,14.09,547.55,1,10,40000,0,15.99,13,0,14655,60.8,27,2,0,1
2400,36,18.25,87.07,0,4,30000,0,2.28,2,0,1388,39.7,5,0,0,1
11200,60,19.99,296.67,0,10,55000,0,19.22,8,1,1650,12.5,11,2,1,1
24000,60,18.25,612.72,0,0.5,120000,0,26.99,11,0,23202,79.7,18,0,0,1
15000,36,13.66,510.2,1,10,54000,0,13.31,9,0,15750,73.9,14,0,0,1
20000,36,13.18,675.62,1,4,120000,0,16.05,5,0,2372,79.1,18,7,0,1
4000,36,17.57,143.75,0,0.5,26000,0,31.53,7,0,12648,83.2,27,0,0,1
6725,36,8.9,213.55,1,2,32000,0,12.75,15,0,18055,42.2,22,0,0,1
6500,36,17.1,232.07,1,8,45000,0,13.31,5,0,3273,33.7,18,4,0,1
10000,36,16.55,354.3,0,5,89000,0,36.14,17,1,35199,71.3,42,3,0,1
4150,36,7.26,128.64,1,8,48000,0,8,10,1,2683,11.4,20,1,1,1
15000,36,10.15,485.07,1,10,88000,0,15.16,22,0,33275,45.8,37,0,0,1
10000,36,7.69,311.94,1,0.5,60000,0,21.68,14,0,11034,47.4,31,0,0,1
10500,36,19.52,387.66,0,10,40000,0,11.97,11,0,6188,58.4,32,0,0,1
6400,36,15.31,222.84,1,4,38400,0,25.19,12,0,4191,61.6,40,0,0,1
12000,36,12.29,400.24,1,10,60000,0,11.4,6,0,7407,90.3,9,1,0,1
9950,36,15.88,349.23,1,1,30000,0,23.12,14,0,4570,19.4,31,0,0,1
7550,36,16.55,267.5,0,1,32000,0,17.4,11,0,11164,56,26,0,0,1
13050,60,17.86,330.4,0,4,36300,0,4.03,12,0,4347,72.4,25,0,0,1
12000,60,20.49,321.21,0,1,50000,0,34.33,11,0,10287,33.6,34,2,0,1
10000,36,14.33,343.39,1,1,75000,0,12.78,23,0,10788,67.8,35,0,0,1
10850,36,13.11,366.16,1,6,31000,0,22.26,7,0,12309,73.7,20,1,0,1
10625,36,14.33,364.85,1,2,50000,0,7.27,8,0,4988,55.4,10,0,0,1
15000,36,12.12,499.08,1,10,88800,0,12.96,4,0,10753,88.1,15,0,0,1
15000,36,16.59,531.74,0,4,48000,0,30.13,21,0,7294,87.9,41,0,0,1
6600,36,15.61,230.77,0,10,44000,0,13.26,6,0,4676,80.6,17,1,0,1
4325,36,17.77,155.87,0,2,42968,0,19.61,8,0,2614,96.8,11,1,0,1
16000,36,18.75,584.48,0,6,50000,0,15.43,12,0,13848,75.7,17,0,0,1
15000,36,13.11,506.21,1,5,42000,0,9.11,9,0,10087,59,14,0,0,1
12000,36,14.65,413.94,1,0.5,55000,0,25.19,12,0,12247,94.9,23,1,0,1
20000,36,7.62,623.23,1,1,85000,0,20.16,13,0,19322,42.3,22,3,0,1
10000,36,12.69,335.45,1,6,30000,0,19.52,10,0,4741,33.4,16,0,0,1
14450,36,18.25,524.22,0,9,85000,0,19.71,16,1,7081,39.1,29,0,1,1
10000,36,7.9,312.91,1,5,75000,0,19.33,13,0,10942,77.1,39,1,0,1
5000,36,13.35,169.32,1,5,32000,0,13.5,11,0,7396,29,21,2,0,1
11000,36,9.75,353.65,1,5,41000,0,26.87,19,1,3440,9.1,30,0,1,1
21000,60,18.25,536.13,0,3,82000,0,24.56,25,0,21609,65.1,37,0,0,1
17625,36,11.55,581.63,1,0.5,40000,0,7.15,8,0,9650,23.9,9,0,0,1
15275,36,17.57,548.94,0,10,70000,0,24.19,20,0,18572,28.1,41,2,0,1
15825,60,16.29,387.28,0,10,36000,0,31.93,17,0,32978,71.2,34,4,0,1
20000,36,9.99,645.25,1,2,68000,0,22.57,7,0,14105,47.2,10,0,0,1
16000,60,14.49,376.37,1,0.5,150000,0,13.32,10,0,6898,42.1,31,2,0,1
7750,36,22.4,297.59,0,7,82500,0,16.44,11,0,11208,59,23,0,0,1
4425,36,8.39,139.47,1,6,40267,0,16.27,9,0,4847,27.9,18,0,0,1
15000,60,15.61,361.67,0,4,48000,0,21.9,15,0,13004,46.3,29,1,0,1
10000,36,14.98,346.56,1,5,37000,0,18.88,5,1,4801,36,35,0,1,1
18000,36,12.29,600.36,1,10,70000,0,6.89,5,0,15939,67.8,11,0,0,1
16000,60,12.49,359.89,1,4,72400,0,16.18,22,0,27077,32.3,63,0,0,1
10125,60,24.5,294.23,0,6,30000,0,14.48,9,1,9463,47.6,26,1,1,1
6250,36,12.12,207.95,1,3,35000,0,12.17,12,0,6616,31.5,17,0,0,1
14500,36,7.62,451.84,1,10,71000,0,17.14,12,0,16842,48.3,35,6,0,1
11850,36,13.35,401.28,1,0.5,35000,0,9.95,10,0,9686,50.7,32,0,0,1
5000,36,6.92,154.21,1,3,58000,0,25.74,11,1,7445,49.3,32,1,1,1
10000,36,17.1,357.03,1,10,42000,0,29.94,12,0,8277,78.8,31,0,0,1
8500,36,12.99,286.36,1,10,45000,0,21.79,6,1,7431,60,49,1,1,1
5000,36,10.99,163.67,1,0.5,35000,0,28.7,11,0,22787,57.5,28,0,0,1
6000,36,13.67,204.11,1,9,38000,0,19.74,7,0,5791,62.9,13,0,0,1
10625,36,14.33,364.85,1,3,31000,0,13.74,5,0,17036,97.9,9,0,0,1
21000,60,10.99,456.49,1,4,90000,0,14.55,11,0,7568,43.7,33,2,0,1
10750,36,17.77,387.4,0,5,30800,0,22.64,6,0,4665,75.2,24,0,0,1
10000,60,12.49,224.93,1,2,150000,0,4.9,15,0,3915,30.8,32,2,0,1
3600,36,17.86,129.9,0,1,45000,0,26.64,7,0,2457,41.6,7,0,0,1
10000,36,12.85,336.22,1,4,32574.4,0,11.53,10,1,5955,52,19,3,1,1
8050,36,12.49,269.27,1,7,19342,0,16,7,1,10466,30.2,15,2,1,1
13200,60,15.61,318.27,0,6,38000,0,33.83,22,1,6215,50.9,44,1,1,1
6475,36,17.57,232.7,0,0.5,18000,0,17.13,9,0,6162,40.8,12,0,0,1
16450,60,12.69,371.69,1,6,45000,0,23.01,10,0,27468,52.5,24,1,0,1
9000,36,16.99,320.83,0,6,45000,0,13.9,15,0,13775,52.6,17,0,0,1
20000,36,7.9,625.81,1,9,89000,0,2.29,11,0,7081,12.9,25,1,0,1
3000,36,15.99,105.46,0,6,72000,0,30.3,15,0,24494,72.5,23,0,0,1
6000,36,13.67,204.11,1,1,57000,0,19.37,9,0,14636,92.1,16,1,0,1
10000,36,13.33,338.54,1,10,32000,0,30.31,10,1,10530,57,16,0,1,1
5400,36,14.99,187.17,1,10,53000,0,17.23,11,1,8634,62,23,1,1,1
6000,36,14.09,205.33,1,6,87000,0,22.12,8,0,27886,90.2,22,6,0,1
10000,36,12.99,336.9,1,8,40000,0,6.3,5,0,3037,62,10,2,0,1
9600,36,7.26,297.57,1,10,44000,0,17.89,15,0,7211,20.2,30,5,0,1
8000,36,15.61,279.72,0,6,35000,0,17.97,12,0,10212,73.5,23,0,0,1
11400,60,16.99,283.26,0,2,120000,0,10.66,10,1,32942,75,35,3,0,1
8000,36,13.35,270.91,1,0.5,86000,0,15.44,10,0,125834,81.5,40,2,0,1
12000,36,11.14,393.67,1,3,90000,0,12.17,8,0,12944,57.3,19,1,0,1
7475,36,11.67,247.11,1,2,22000,0,12.33,8,0,6451,86,19,0,0,1
2400,36,14.33,82.42,1,5,35000,0,27.91,11,0,22467,68.9,24,2,0,1
15000,36,9.67,481.69,1,8,100000,0,10.58,7,0,4249,31.5,26,2,0,1
7000,36,12.99,235.83,1,1,30000,0,16.98,7,0,2846,15.3,10,0,0,1
24000,36,6.24,732.74,1,2,63600,0,8.43,14,0,16329,26.8,23,0,0,1
35000,60,12.99,796.18,1,10,110000,0,23.26,15,0,40084,52.7,39,3,0,1
9450,36,14.47,325.14,1,6,36000,0,10.97,9,0,9644,67.9,11,1,0,1
10000,36,14.47,344.07,1,3,35000,0,22.29,4,0,6750,92.5,8,0,0,1
9000,36,14.98,311.9,1,6,110000,0,7.67,11,0,15640,78.2,31,0,0,1
9950,36,21.18,375.79,0,3,38500,0,25.59,9,1,4746,44.4,18,0,1,1
10375,36,15.59,362.66,0,1,48000,0,29.7,21,0,30046,76.5,31,0,0,1
10000,36,23.4,389.19,0,9,57000,0,24.34,22,0,9687,93.1,33,2,0,1
5000,36,18.49,182,0,1,31000,0,28.22,9,0,5833,58.9,9,0,0,1
12000,36,14.49,413,1,5,93000,0,13.14,9,0,7846,74,23,0,0,1
6300,36,14.49,216.83,1,3,85000,0,30.31,20,0,41315,81.2,36,4,0,1
6000,36,6.49,183.87,1,0.5,70000,0,21.8,37,0,23489,66,60,1,0,1
15000,36,12.69,503.18,1,2,50000,0,20.57,27,0,13819,42.8,40,0,0,1
15000,36,7.69,467.91,1,2,55000,0,4.52,5,0,7747,61.5,8,2,0,1
13400,36,19.72,496.09,0,2,55000,0,22.32,14,0,15294,83.6,26,0,0,1
10000,60,18.25,255.3,0,10,99400,0,11.03,12,0,9761,84.1,19,2,0,1
13800,36,8.39,434.93,1,3,61100,0,15.46,6,0,246,9.8,14,1,0,1
18775,36,10.64,611.48,1,5,70000,0,9.71,5,0,2132,17.5,7,0,0,1
12000,36,7.26,371.96,1,0.5,36000,0,11.67,9,0,10677,29.1,20,1,0,1
12000,36,8.9,381.04,1,7,65000,0,27.84,16,0,9723,67.1,51,4,0,1
4200,36,17.57,150.94,0,10,95000,0,15.73,19,0,33400,62.1,36,6,0,1
6000,36,10.99,196.41,1,5,94000,0,10.79,6,0,3994,55.5,11,0,0,1
1800,36,20.49,67.35,0,2,14400,0,2.08,4,0,1821,60.7,4,0,0,1
18000,36,18.85,658.45,0,0.5,45000,0,20.27,16,1,8549,24.6,24,2,1,1
12700,36,11.47,418.62,1,10,101111,0,16.33,14,0,14293,45.1,24,2,0,1
21000,60,9.17,437.67,1,10,89000,0,28.71,9,0,63350,81.1,24,2,0,1
30000,36,17.14,1071.68,0,10,185000,0,4.51,9,1,1374,19.6,26,5,1,1
9600,36,14.33,329.65,1,6,40000,0,25.02,20,0,7800,68.4,22,0,0,1
6000,36,9.17,191.28,1,10,48000,0,16.04,18,0,23486,45.7,31,0,0,1
16400,36,17.57,589.37,0,1,46500,0,18.86,12,0,21663,63.5,23,1,0,1
3000,36,8.18,94.26,1,10,35000,0,25.55,8,0,6515,77.6,19,0,0,1
10000,36,9.67,321.13,1,10,60000,0,19.38,6,1,8752,42.1,26,4,1,1
11700,60,15.61,282.11,0,7,120000,0,17.7,22,0,21133,47.3,31,0,0,1
10000,36,18.25,362.78,0,10,34000,0,20.19,9,0,8487,73.8,16,0,0,1
16000,60,18.92,414.35,0,10,40000,0,28.14,22,1,5854,23.3,59,2,1,1
15500,36,17.77,558.58,0,4,40000,0,27.6,10,0,8692,38.6,15,0,0,1
25000,60,19.53,655.83,0,8,117000,0,12.4,6,0,4655,49,18,3,0,1
15000,36,10.99,491.01,1,10,85000,0,9.37,16,0,9105,35.8,25,0,0,1
18000,60,17.86,455.72,0,0.5,45000,0,33.41,20,0,16303,54.9,33,0,0,1
5000,36,11.53,164.96,1,0.5,20000,0,7.74,15,0,3669,89.5,30,2,0,1
18000,60,17.86,455.72,0,10,60000,0,13.09,7,0,8905,68,24,3,0,1
1200,36,20.2,44.72,0,9,40000,0,16.95,8,0,9531,94.4,24,0,0,1
18000,36,8.39,567.3,1,10,85000,0,22.36,16,0,10515,61.5,43,7,0,1
12000,36,14.09,410.66,1,2,50000,0,13.07,9,0,11052,54.7,13,0,0,1
12000,36,14.33,412.06,1,2,112350,0,3.19,8,0,8840,56.7,22,0,0,1
7200,36,8.9,228.63,1,10,85000,0,4.01,10,0,13344,41.7,24,2,0,1
7800,36,11.55,257.4,1,10,40000,0,10.08,7,0,13674,76.4,13,0,0,1
18950,60,27.34,582.51,0,7,101000,0,33.72,11,0,28383,101.4,19,5,0,1
6000,36,13.99,205.04,1,1,45000,0,19.49,15,0,12378,52.9,18,0,0,1
15000,36,12.49,501.74,1,3,40000,0,29.22,8,0,9847,38.6,9,0,0,1
8500,36,13.99,290.47,1,6,30000,0,13.24,17,0,8481,16.8,20,0,0,1
1400,36,10.99,45.83,1,5,48000,0,33,7,0,34897,78.4,21,2,0,1
12000,36,14.99,415.93,1,2,42500,0,22.54,13,1,6151,62,40,0,1,1
4000,36,13.98,136.68,1,7,120000,0,24.06,14,9,39039,93.2,36,0,0,1
20000,36,11.99,664.2,1,7,62000,0,20,31,0,12199,15.2,57,1,0,1
8000,36,16.99,285.19,0,5,34200,0,4.95,19,0,2628,34.1,27,0,0,1
18000,60,25.78,536.59,0,10,50000,0,19.32,7,0,22822,77.9,14,3,0,1
14700,60,25.57,436.4,0,10,37000,0,26.95,14,0,27887,53.6,24,1,0,1
13150,36,14.65,453.6,1,0.5,30000,0,10.4,9,0,12060,79.9,9,0,0,1
28000,36,11.99,929.87,1,6,120000,0,27.55,14,0,50504,78.2,48,20,0,1
12000,36,15.31,417.81,1,0.5,71000,0,17.54,7,0,15545,60.5,28,0,0,1
6100,36,7.9,190.88,1,3,66695,0,4.97,8,0,7916,79.2,15,0,0,1
20000,36,12.12,665.44,1,5,60000,0,27.9,16,0,42204,40.4,40,1,0,1
10000,36,18.49,363.99,0,10,42286,0,26.48,4,0,14062,94.4,26,0,0,1
4375,36,18.92,160.2,0,5,36000,0,5.14,6,0,2541,52.9,20,2,0,1
8000,36,17.77,288.3,0,5,55000,0,14.15,20,0,6565,42.1,28,0,0,1
26500,60,8.18,539.62,1,3,84000,0,14.02,34,0,7248,11,49,0,0,1
12150,60,12.69,274.53,1,3,85000,0,23.93,21,0,39402,43.8,37,3,0,1
8000,36,15.8,280.47,1,7,62000,0,20.32,8,0,7760,68.7,16,1,0,1
28000,60,17.77,707.52,0,3,63500,0,17.68,10,0,30199,88.3,30,5,0,1
15000,36,13.99,512.6,1,10,69000,0,20.66,27,0,37248,83.2,34,0,0,1
1800,36,17.57,64.69,0,6,55000,0,19.62,11,0,6818,55.4,26,1,0,1
8000,36,14.65,275.96,1,2,60000,0,24.16,10,0,8615,55,13,0,0,1
2125,36,21.99,81.15,0,2,43000,0,4.41,10,0,2473,91.6,21,0,0,1
13925,36,14.65,480.34,1,4,35000,0,27.02,6,0,4103,74.6,11,0,0,1
6650,36,17.77,239.65,0,1,25000,0,15.6,4,0,6803,84,10,0,0,1
10500,36,7.9,328.55,1,0.5,80000,0,15.93,11,0,6735,43.5,15,0,0,1
14000,36,13.99,478.42,1,9,45000,0,29.9,18,0,29124,85.4,31,0,0,1
6800,36,13.53,230.86,1,7,60000,0,27.16,17,0,24054,53,28,0,0,1
12000,36,6.89,369.93,1,10,87000,0,12.5,14,0,19910,43.6,21,2,0,1
10000,36,13.11,337.47,1,5,50000,0,25.99,11,1,8764,71.8,17,1,1,1
14000,36,14.65,482.92,1,6,36000,0,22,11,0,18454,97.6,20,0,0,1
8400,36,13.67,285.75,1,5,55000,0,17,14,0,20318,45.9,26,0,0,1
14000,36,13.98,478.36,1,4,50000,0,23.86,12,1,16757,70.4,14,0,1,1
9150,36,24.5,361.39,0,4,36000,0,26.92,13,0,9301,73.2,26,0,0,1
15000,60,17.86,379.76,0,10,104000,0,25.58,10,0,27932,76.3,27,4,0,1
20000,60,16.29,489.45,0,10,50000,0,15.99,7,0,33340,63,20,3,0,1
3750,36,16.99,133.68,0,5,39000,0,8.49,4,2,2075,48.3,6,1,2,1
15600,36,10.99,510.66,1,0.5,48000,0,17.48,9,0,11966,51.6,19,0,0,1
12000,36,10.16,388.11,1,6,56000,0,27.81,11,0,11771,53.7,22,1,0,1
7000,36,12.99,235.83,1,3,43000,0,14.85,11,0,12446,49.6,34,0,0,1
1800,36,12.29,60.04,1,2,54000,0,10.46,10,0,13653,48.2,30,0,0,1
15825,36,17.57,568.71,0,10,54080,0,21.06,8,1,8316,68,16,0,0,1
4000,36,10.99,130.94,1,10,70000,0,34.37,7,0,3773,68.6,17,3,0,1
8000,36,11.67,264.46,1,3,50000,0,13.8,7,0,5435,89.9,13,2,0,1
16000,60,21.97,441.63,0,9,62000,0,16.94,12,0,9920,86.3,24,2,0,1
7000,36,11.14,229.64,1,6,88000,0,8.21,9,0,3575,74.5,12,1,0,1
16000,60,19.52,419.65,0,0.5,40000,0,22.59,16,0,15202,24.2,17,0,0,1
10000,36,15.31,348.18,1,2,36000,0,14.88,7,0,5408,56.9,7,0,0,1
2500,36,7.89,78.22,1,10,110000,0,22.27,21,1,11655,49.6,52,4,1,1
10000,36,11.99,332.1,1,7,33800,0,7.49,7,0,6578,49.5,21,0,0,1
11175,36,15.59,390.63,0,2,55000,0,17.91,18,0,9441,44.3,19,0,0,1
12000,60,13.33,275.07,1,9,40000,0,31.24,11,0,3131,19.9,21,0,0,1
17000,36,12.12,565.62,1,8,44000,0,11.12,15,0,7478,25.5,19,0,0,1
4000,36,17.77,144.15,0,7,75000,0,18.02,14,0,13308,80.2,22,0,0,1
6000,36,15.31,208.91,1,10,38000,0,20.81,10,0,6659,64,12,0,0,1
11000,36,9.67,353.24,1,10,55000,0,9.3,11,0,11636,30.7,44,6,0,1
10775,36,10.99,352.71,1,0.5,34759,0,17.61,11,0,24637,36.1,29,4,0,1
6400,36,9.17,204.03,1,0.5,28000,0,25.12,10,0,10810,51.2,20,1,0,1
10000,36,17.77,360.38,0,7,51648,0,20.03,10,0,6710,67.8,26,6,0,1
10000,36,13.98,341.68,1,6,48000,0,28.15,23,0,22403,71.8,34,0,0,1
24000,60,16.55,590.68,0,3,72000,0,12.23,4,1,2408,32.1,16,0,0,1
10000,36,11.99,332.1,1,10,73000,0,14.12,15,0,28861,62.6,32,5,0,1
6000,36,12.12,199.63,1,10,50000,0,22.54,9,0,17812,81.7,19,0,0,1
12975,36,17.86,468.17,0,3,31000,0,29,7,0,14263,40,16,0,0,1
8000,36,10.99,261.88,1,1,25909,0,19.55,7,0,8747,41.5,8,0,0,1
14000,36,7.89,438,1,4,54000,0,20.56,17,0,13236,24.6,49,3,0,1
11625,36,12.12,386.79,1,0.5,35000,0,22.52,8,0,17673,72.4,10,0,0,1
13475,36,14.99,467.05,1,5,27000,0,22.8,8,0,17789,72.9,20,0,0,1
7500,36,16.29,264.76,0,10,65000,0,19.41,14,0,11462,51.2,32,0,0,1
5000,36,8.39,157.59,1,3,48000,0,18.38,10,0,16949,68.1,15,0,0,1
8800,36,14.98,304.97,1,1,20000,0,8.4,5,0,8950,68.8,20,3,0,1
4000,36,8.9,127.02,1,4,26000,0,29.86,13,0,11847,47,21,0,0,1
14000,36,13.11,472.46,1,4,50000,0,24.07,17,0,10894,71.7,27,0,0,1
16800,36,6.03,511.32,1,1,120000,0,2.23,16,0,16911,16.8,32,1,0,1
6000,36,11.53,197.95,1,2,57600,0,19.69,11,0,9291,56.3,16,0,0,1
10000,36,10.64,325.69,1,4,38000,0,25.23,10,0,11497,61.5,18,0,0,1
18825,36,12.35,628.42,1,3,47000,0,26.55,13,1,12240,52.8,32,0,1,1
9600,36,17.1,342.75,1,10,65000,0,23.22,7,0,12128,86,22,0,0,1
7000,36,11.99,232.47,1,1,40000,0,16.86,12,0,7254,19.7,19,1,0,1
2000,36,13.11,67.5,1,4,48000,0,14.01,18,0,26403,35,22,0,0,1
10400,60,16.55,255.96,0,2,29842,0,31.9,14,0,10460,35.8,26,0,0,1
5000,36,9.17,159.4,1,10,75200,0,22.33,11,0,22578,64.9,24,3,0,1
15000,36,15.61,524.48,1,10,50000,0,26.7,18,0,30860,70.3,33,0,0,1
18000,36,11.14,590.5,1,6,131000,0,15.89,9,0,7802,75,10,0,0,1
10800,60,20.2,287.34,0,1,36000,0,24.83,8,0,7020,70.2,21,3,0,1
12000,36,8.67,379.76,1,0.5,62000,0,23.21,7,0,7032,41.1,21,3,0,1
2650,36,16.29,93.55,0,2,30000,0,13.6,4,0,1161,83,5,0,0,1
15000,36,11.53,494.86,1,9,40000,0,13.89,5,0,11243,64.2,12,1,0,1
16000,60,13.33,366.76,1,0.5,105000,0,28.12,14,0,15060,38.9,26,0,0,1
5000,36,13.65,170.04,1,5,60000,0,30.48,17,0,29760,34.6,26,0,0,1
10000,36,8.6,316.14,1,9,48000,0,11.83,13,0,11715,44.9,18,1,0,1
8000,36,12.35,267.06,1,10,135000,0,4.59,11,0,4525,21.2,31,6,0,1
8000,36,13.99,273.39,1,8,95000,0,16.13,9,0,22169,82.4,14,2,0,1
10000,36,13.99,341.73,1,3,50000,0,18.6,13,0,617,9.3,21,0,0,1
10000,36,11.14,328.06,1,10,35000,0,9.64,8,1,10102,58.4,12,0,1,1
10000,36,11.67,330.57,1,10,75000,0,21.04,14,0,22640,47.8,39,2,0,1
5500,36,17.77,198.21,0,6,36898,0,10.79,8,0,5475,41.8,11,0,0,1
15000,36,18.75,547.95,0,0.5,36400,0,21.23,6,0,22247,68.5,30,2,0,1
3000,36,16.59,106.35,0,4,41600,0,34.45,21,0,1379,68.9,26,0,0,1
8500,36,10.99,278.24,1,10,43000,0,29.08,12,0,4008,28.4,29,0,0,1
3000,36,11.67,99.18,1,2,14800,0,22.87,6,0,2961,37,9,0,0,1
10000,36,10.99,327.34,1,10,81000,0,24.62,7,0,17395,90.1,28,0,0,1
15000,36,14.09,513.33,1,0.5,40000,0,9.45,11,1,10099,47.4,19,0,1,1
14400,36,15.31,501.37,1,9,73500,0,16.63,8,0,7104,79.8,9,1,0,1
6400,36,21,241.13,0,2,45000,0,15.65,10,0,1853,17.6,16,0,0,1
7800,36,12.49,260.91,1,2,38000,0,27.67,18,0,7538,87.7,31,0,0,1
12000,36,13.99,410.08,1,10,52000,0,27.09,17,0,2835,13.9,56,0,0,1
15000,60,14.65,354.1,1,1,58500,0,19.06,14,0,9247,46.5,42,3,0,1
5000,36,13.35,169.32,1,10,42000,0,6,10,5,3298,37.5,22,2,1,1
13600,36,16.55,481.84,0,2,40000,0,22.38,9,0,13666,93.6,23,0,0,1
7000,36,11.14,229.64,1,5,97000,0,9.53,12,0,12894,44.2,13,1,0,1
9750,36,19.2,358.39,0,2,35000,0,26.42,9,0,14838,93.3,24,0,0,1
18000,36,11.67,595.03,1,0.5,60000,0,20.3,16,0,12501,28.2,28,0,0,1
14000,36,13.33,473.95,1,10,49000,0,16.16,11,1,7513,49.8,19,0,1,1
14300,36,15.31,497.89,1,7,36000,0,28.93,19,0,10971,69,34,2,0,1
15000,36,9.67,481.69,1,2,42000,0,25.87,8,0,7772,63.2,26,1,0,1
17500,60,19.52,458.99,0,2,44860,0,16.83,10,0,21338,76.2,21,3,0,1
5000,36,11.48,164.84,1,10,80000,0,18.83,15,0,65990,8,41,2,0,1
